objectSid;userPrincipalName;displayName;givenName;manager ;CN;DN;OU;SN;department;title;mail;mobilePhone;userAccountControl
01050000000000051500000007E53B2B782E9D139522F87FA00D0000;test_user_name@horns_and_hooves.ru;Татьяна Владимировна;Татьяна Владимировна;CN=Дмитрий Борисович,OU=Отдел планирования и аналитики,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Татьяна Владимировна;CN=Татьяна Владимировна,OU=Группа управления товарными запасами,OU=Отдел планирования и аналитики,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Литвинова;Группа управления товарными запасами;Руководитель группы;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F91040000;test_user_name@horns_and_hooves.ru;Анна Владимировна;Анна Владимировна;CN=Дмитрий Борисович,OU=Отдел планирования и аналитики,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Анна Владимировна;CN=Анна Владимировна,OU=Отдел планирования и аналитики,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Топоренская;Отдел планирования и аналитики;Заместитель директора по планированию;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F3D0C0000;test_user_name@horns_and_hooves.ru;Оксана Михайловна;Оксана Михайловна;CN=Дмитрий Александрович,OU=Финансовая дирекция,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Оксана Михайловна;CN=Оксана Михайловна,OU=Отдел управления ликвидностью,OU=Финансовая дирекция,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Морозова;управления ликвидностью;Специалист;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FCC1B0000;test_user_name@horns_and_hooves.ru;Инна Анатольевна;Инна Анатольевна;CN=Денис Александрович,OU=Производственные склады,OU=Производство,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Инна Анатольевна;CN=Инна Анатольевна,OU=Производственные склады,OU=Производство,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Афицерова;Производственные склады;Заведующий склада комплектующих направления ""Кислородная космети;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F95240000;test_user_name@horns_and_hooves.ru;Елена Ивановна;Елена Ивановна;CN=Ольга Леонидовна,OU=Декрет,OU=FL,DC=Рога и Копыта,DC=ru;Елена Ивановна;CN=Елена Ивановна,OU=Отдел контроля качеством,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Анашкина;контроля качеством;Контролер;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F76040000;test_user_name@horns_and_hooves.ru;Антон Сергеевич;Антон Сергеевич;CN=Валерий Викторович,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Антон Сергеевич;CN=Антон Сергеевич,OU=Служба бизнес-решений,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Семенов;Служба бизнес-решений;Руководитель службы бизнес-решений;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F6A2A0000;test_user_name@horns_and_hooves.ru;Юлия Петровна;Юлия Петровна;CN=Константин Михайлович,OU=Служба обеспечения,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Юлия Петровна;CN=Юлия Петровна,OU=Группа регионального обеспечения,OU=Служба обеспечения,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Афонина;регионального обеспечения;Руководитель группы;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FE7290000;test_user_name@horns_and_hooves.ru;Любовь Владимировна;Любовь Владимировна;;Любовь Владимировна;CN=Любовь Владимировна,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Шумбасова;Декрет;по операциям;test_user_name@horns_and_hooves.ru;;66050
01050000000000051500000007E53B2B782E9D139522F87FD3190000;test_user_name@horns_and_hooves.ru;Елена Николаевна;Елена Николаевна;;Елена Николаевна;CN=Елена Николаевна,OU=Отдел закупок,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Флотская;Отдел закупок;Ведущий менеджер по закупкам;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F822A0000;test_user_name@horns_and_hooves.ru;Оксана Валерьевна;Оксана Валерьевна;;Оксана Валерьевна;CN=Оксана Валерьевна,OU=Отдел закупок,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Пчелко;Отдел закупок;Ведущий менеджер по закупкам;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F88290000;test_user_name@horns_and_hooves.ru;Анастасия Александровна;Анастасия Александровна;CN=Антон Сергеевич,OU=Служба бизнес-решений,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Анастасия Александровна;CN=Анастасия Александровна,OU=Служба бизнес-решений,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Кликич;Служба бизнес-решений;Руководитель проектов;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
